,AvaTax System Tax Code,AvaTax System Tax Code Description,Additional AvaTax System Tax Code Information,list_tax_code_des,list_tax_code_info,UNSPSC_corresponding_code
0,D0000000,Digital goods,"Digital goods are generally viewed as downloadable items that are sold on websites or that are otherwise transferred electronically. examples would include computer software, artwork, photographs, music, movies, zip files, e-books, pdfs and more.","['digit', 'good']","['otherwis', 'softwar', 'websit', 'digit', 'exampl', 'comput', 'music', 'transfer', 'item', 'good', 'file', 'would', 'view', 'book', 'includ', 'artwork', 'electron', 'download', 'sold', 'zip', 'photograph', 'movi', 'gener', 'pdf', 'e']",48111103.0
1,D9999999,Temporary unmapped digital goods sku - taxable default,A digital good that has not been mapped to a specific digital good tax code. this temporary unmapped code has a taxable default and will impose tax in all cases unless an entity or use base exemption is applicable. the purpose for using this code is limited to getting a sku assigned to a system tax code until it can be adequately reviewed and a specific tax code can be accurately assigned.,"['digit', 'good', 'unmap', 'sku', 'temporari', 'default', 'taxabl']","['exempt', 'applic', 'taxabl', 'purpos', 'get', 'digit', 'unl', 'impos', 'accur', 'limit', 'tax', 'adequ', 'use', 'default', 'use', 'system', 'map', 'entiti', 'unmap', 'case', 'sku', 'specif', 'temporari', 'review', 'base', 'assign', 'code']",48111103.0
2,DA010000,Digital goods: advertising material (digital only -- no physical media),"Tangible personal property (i.e. designs, artwork, photos etc.) associated with advertising services that is transferred to the customer through electronic means only.","['digit', 'advertis', 'good', 'physic', 'materi', 'media']","['advertis', 'design', 'properti', 'custom', 'electron', 'etc', 'ie', 'tangibl', 'mean', 'photo', 'artwork', 'servic', 'transfer', 'associ', 'person']",24101647.0
3,DA030000,Digital goods: art (digital only -- no physical media),Canned artwork that is transferred to the customer through electronic means.,"['digit', 'art', 'good', 'physic', 'media']","['electron', 'custom', 'artwork', 'transfer', 'mean', 'can']",48111103.0
4,DA040000,Digital goods: audio (digital only -- no physical media),Audio (i.e. music or spoken word) that is transferred to the customer through electronic means only.,"['digit', 'good', 'audio', 'physic', 'media']","['custom', 'audio', 'electron', 'ie', 'word', 'spoken', 'music', 'transfer', 'mean']",48111103.0
5,DA040100,Radio subscriptions,Subscriptions to satellite radio services.,"['radio', 'subscript']","['satellit', 'subscript', 'servic', 'radio']",
6,DA050000,Digital audio works,,"['digit', 'work', 'audio']",[],45111714.0
7,DA051011,Digital audio works sold to an end user with rights for permanent use,,"['digit', 'audio', 'work', 'perman', 'user', 'right', 'use', 'end', 'sold']",[],
8,DA051012,Digital audio works (with rights conditioned on continued payments),,"['digit', 'condit', 'audio', 'payment', 'work', 'right', 'continu']",[],45111714.0
9,DA051013,Digital audio works sold to users other than the end user,,"['digit', 'audio', 'work', 'user', 'end', 'sold']",[],45111714.0
